,UPC,2017Spend,2017 Sales,WeekNum,2018Spend,2018 Sales,diff
468,12000171864,0,0,27,0,584.23,584.23
469,12000171864,0,0,28,82,243.73,243.73
470,12000171864,0,0,29,94,680.13,680.13
471,12000171864,0,0,30,138,823.46,823.46
472,12000171864,0,0,31,74,335.11,335.11
473,12000171864,0,0,32,57,793.11,793.11
474,12000171864,0,0,33,45,337.48,337.48
475,12000171864,0,0,34,99,927.15,927.15
476,12000171864,0,0,35,82,842.46,842.46
477,12000171864,0,0,36,22,520.11,520.11
478,12000171864,0,0,37,0,238,238
479,12000171864,0,5.29,38,0,883.23,877.94
480,12000171864,0,0,39,0,375.7,375.7
481,12000171864,0,13.76,40,0,2391.19,2377.43
482,12000171864,0,42.32,41,0,554.1,511.78
483,12000171864,0,5.03,42,0,1670.86,1665.83
484,12000171864,0,62.18,43,0,380.76,318.58
485,12000171864,0,94.35,44,0,1913.78,1819.43
594,12000504044,0,0,27,0,549.42,549.42
595,12000504044,0,0,28,0,2019.31,2019.31
596,12000504044,0,0,29,0,910.48,910.48
597,12000504044,0,0,30,0,2684.18,2684.18
598,12000504044,0,0,31,0,1281.21,1281.21
599,12000504044,0,0,32,0,1105.25,1105.25
600,12000504044,0,0,33,0,748.46,748.46
601,12000504044,0,0,34,0,945.92,945.92
602,12000504044,0,0,35,45,1131.2,1131.2
603,12000504044,0,0,36,167,1154.57,1154.57
604,12000504044,0,0,37,206,1281.55,1281.55
605,12000504044,0,0,38,124,1016.96,1016.96
606,12000504044,0,14.97,39,47,906.73,891.76
607,12000504044,0,181.24,40,46,1564.52,1383.28
608,12000504044,0,124.96,41,50,1084.71,959.75
609,12000504044,0,78.31,42,37,741.37,663.06
610,12000504044,0,108.92,43,57,1161.95,1053.03
611,12000504044,0,365.17,44,26,2220.15,1854.98
630,12000809941,0,0,27,0,1381.91,1381.91
631,12000809941,0,0,28,0,272.77,272.77
632,12000809941,0,0,29,0,1371.41,1371.41
633,12000809941,0,0,30,0,1825.52,1825.52
634,12000809941,0,0,31,0,695.56,695.56
635,12000809941,0,0,32,0,1287.23,1287.23
636,12000809941,0,0,33,0,413.94,413.94
637,12000809941,0,0,34,0,1492.12,1492.12
638,12000809941,0,0,35,2,1375.14,1375.14
639,12000809941,0,0,36,3,791.95,791.95
640,12000809941,0,0,37,6,360.02,360.02
641,12000809941,0,0,38,13,1600.3,1600.3
642,12000809941,0,49.83,39,24,554.38,504.55
643,12000809941,0,127.76,40,44,4229.25,4101.49
644,12000809941,0,183.57,41,24,1023.99,840.42
645,12000809941,0,88.62,42,56,2997.73,2909.11
646,12000809941,0,139.71,43,28,740.68,600.97
647,12000809941,0,193.35,44,32,3209.18,3015.83
648,12000809965,0,0,27,0,881.52,881.52
649,12000809965,0,0,28,0,408.4,408.4
650,12000809965,0,0,29,0,1031.95,1031.95
651,12000809965,0,0,30,0,1330.87,1330.87
652,12000809965,0,0,31,0,711.58,711.58
653,12000809965,0,0,32,0,945.47,945.47
654,12000809965,0,0,33,0,354.97,354.97
655,12000809965,0,0,34,0,1197.81,1197.81
656,12000809965,0,0,35,2,1164.34,1164.34
657,12000809965,0,0,36,10,583.26,583.26
658,12000809965,0,0,37,34,443.42,443.42
659,12000809965,0,0,38,41,1149.81,1149.81
660,12000809965,0,9.28,39,34,433.78,424.5
661,12000809965,0,31.48,40,53,2765.71,2734.23
662,12000809965,0,61.93,41,43,842.08,780.15
663,12000809965,0,50.52,42,54,2173.59,2123.07
664,12000809965,0,87.08,43,24,2499.46,2412.38
665,12000809965,0,75.51,44,24,2238.22,2162.71
666,12000809972,0,0,27,0,438.94,438.94
667,12000809972,0,0,28,0,204.09,204.09
668,12000809972,0,0,29,0,622.26,622.26
669,12000809972,0,0,30,8,750.47,750.47
670,12000809972,0,0,31,10,216.52,216.52
671,12000809972,0,0,32,10,624.86,624.86
672,12000809972,0,0,33,2,259.55,259.55
673,12000809972,0,0,34,14,774.75,774.75
674,12000809972,0,0,35,24,726.4,726.4
675,12000809972,0,0,36,15,212.11,212.11
676,12000809972,0,0,37,0,234.75,234.75
677,12000809972,0,0,38,0,696.31,696.31
678,12000809972,0,0,39,0,281.87,281.87
679,12000809972,0,19.46,40,0,1723.19,1703.73
680,12000809972,0,33.16,41,0,443,409.84
681,12000809972,0,24.9,42,0,1252.16,1227.26
682,12000809972,0,15.87,43,0,1775.18,1759.31
683,12000809972,0,25.19,44,0,1667.61,1642.42
792,28400011099,0,0,27,0,392.25,392.25
793,28400011099,0,0,28,0,572.42,572.42
794,28400011099,0,0,29,48,869.51,869.51
795,28400011099,0,0,30,47,825.98,825.98
796,28400011099,0,0,31,49,579.23,579.23
797,28400011099,0,0,32,30,769.69,769.69
798,28400011099,0,0,33,34,1026.79,1026.79
799,28400011099,0,0,34,38,1081.36,1081.36
800,28400011099,0,0,35,30,941.34,941.34
801,28400011099,0,0,36,30,1108.79,1108.79
802,28400011099,0,0,37,26,1248.9,1248.9
803,28400011099,0,0,38,30,1036.83,1036.83
804,28400011099,0,0,39,52,1181.31,1181.31
805,28400011099,0,0,40,32,1405.25,1405.25
806,28400011099,0,0,41,50,1053.42,1053.42
807,28400011099,0,0,42,130,1052.16,1052.16
808,28400011099,0,0,43,96,1141.12,1141.12
809,28400011099,0,0,44,70,1190.76,1190.76
1296,28400639552,0,340.31,27,0,1039.25,698.94
1297,28400639552,0,488.6,28,0,962.98,474.38
1298,28400639552,0,345.84,29,0,976.62,630.78
1299,28400639552,0,226.51,30,5,945.68,719.17
1300,28400639552,0,484.13,31,5,1442.35,958.22
1301,28400639552,0,248,32,4,995.27,747.27
1302,28400639552,0,532.53,33,8,1065,532.47
1303,28400639552,0,617.79,34,12,1124.37,506.58
1304,28400639552,0,453.24,35,16,1168.48,715.24
1305,28400639552,0,307.68,36,8,1071.32,763.64
1306,28400639552,0,315.43,37,4,1237.08,921.65
1307,28400639552,0,550.81,38,10,1337.38,786.57
1308,28400639552,0,436.11,39,16,1301.72,865.61
1309,28400639552,0,481.11,40,54,1247.1,765.99
1310,28400639552,0,554.32,41,70,1579.28,1024.96
1311,28400639552,0,402.28,42,100,1214.64,812.36
1312,28400639552,0,612.11,43,118,1098.71,486.6
1313,28400639552,0,424.54,44,38,1070.44,645.9
1404,28400642033,0,306.63,27,0,1629.42,1322.79
1405,28400642033,0,386.3,28,0,1138.42,752.12
1406,28400642033,0,237.76,29,0,991.2,753.44
1407,28400642033,0,146.64,30,0,1105.21,958.57
1408,28400642033,0,209.56,31,0,1271.91,1062.35
1409,28400642033,0,140.9,32,0,2557.03,2416.13
1410,28400642033,0,195,33,0,1969.16,1774.16
1411,28400642033,0,1158.6,34,0,1150.33,-8.27
1412,28400642033,0,461.9,35,2,1093.1,631.2
1413,28400642033,0,335.47,36,2,1096.17,760.7
1414,28400642033,0,368.37,37,0,1267.53,899.16
1415,28400642033,0,450.49,38,2,1319.96,869.47
1416,28400642033,0,453.29,39,2,1237.67,784.38
1417,28400642033,0,355.51,40,31,1249.47,893.96
1418,28400642033,0,575.55,41,28,1530.51,954.96
1419,28400642033,0,438.18,42,45,1348.29,910.11
1420,28400642033,0,452.42,43,29,1431.99,979.57
1421,28400642033,0,391.62,44,13,1411.89,1020.27
1548,30000010402,0,251.48,27,0,673.72,422.24
1549,30000010402,0,339.03,28,0,1029.51,690.48
1550,30000010402,0,428.6,29,0,840.61,412.01
1551,30000010402,0,321.01,30,0,1013.41,692.4
1552,30000010402,0,328.7,31,0,816.01,487.31
1553,30000010402,0,360.52,32,0,895.85,535.33
1554,30000010402,0,607.53,33,0,1077.23,469.7
1555,30000010402,0,411.12,34,0,987.26,576.14
1556,30000010402,0,558.56,35,0,990.76,432.2
1557,30000010402,0,497.17,36,0,902.85,405.68
1558,30000010402,0,504.23,37,0,1198.43,694.2
1559,30000010402,0,734.27,38,0,1359.79,625.52
1560,30000010402,0,665.4,39,0,1453.84,788.44
1561,30000010402,0,582.18,40,4,1202.3,620.12
1562,30000010402,0,515.77,41,1,968.8,453.03
1563,30000010402,0,600.25,42,1,1014.78,414.53
1564,30000010402,0,512.71,43,0,997.44,484.73
1565,30000010402,0,445,44,1,1070.17,625.17
1602,30000012000,0,300.78,27,0,378.99,78.21
1603,30000012000,0,365.37,28,0,468.84,103.47
1604,30000012000,0,435.15,29,0,485.16,50.01
1605,30000012000,0,277.41,30,0,392.73,115.32
1606,30000012000,0,308.69,31,0,576.66,267.97
1607,30000012000,0,415.69,32,0,714.23,298.54
1608,30000012000,0,374.29,33,0,952.54,578.25
1609,30000012000,0,343.03,34,0,808.85,465.82
1610,30000012000,0,435.87,35,0,602.1,166.23
1611,30000012000,0,551.69,36,0,726.65,174.96
1612,30000012000,0,701.15,37,0,863.01,161.86
1613,30000012000,0,422.02,38,10,1003.73,581.71
1614,30000012000,0,547.25,39,19,830.79,283.54
1615,30000012000,0,644.83,40,0,856.33,211.5
1616,30000012000,0,449.57,41,200,744.43,294.86
1617,30000012000,0,369.32,42,424,801.35,432.03
